Bill #,State,Session,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text
HB 217,Utah,2021 General Session,H.B. 217 Regulatory Sandbox Program Amendments,Jan 20 2021,Governor Signed,Mar 22 2021,https://openstates.org/ut/bills/2021/HB217/,A. Cory Maloy,Ann Millner,https://le.utah.gov/~2021/bills/hbillenr/HB0217.pdf
SR 72,Hawaii,2021 Regular Session,Requesting The Office Of Enterprise Technology Services To Conduct A Study On The Potential Benefits And Value Of Blockchain Technology To State Government Administration And Affairs.,Mar 11 2021,Referred To Gvo.,Mar 16 2021,https://openstates.org/hi/bills/2021 Regular Session/SR72/,Glenn Wakai,,https://capitol.hawaii.gov/session2021/bills/SR72_.HTM
SCR 93,Hawaii,2021 Regular Session,Requesting The Office Of Enterprise Technology Services To Conduct A Study On The Potential Benefits And Value Of Blockchain Technology To State Government Administration And Affairs.,Mar 11 2021,Referred To Gvo.,Mar 16 2021,https://openstates.org/hi/bills/2021 Regular Session/SCR93/,Glenn Wakai,,https://capitol.hawaii.gov/session2021/bills/SCR93_.HTM
H 327,Idaho,"66th Legislature, 1st Regular Session (2021)",FINANCIAL TECHNOLOGY – Adds to existing law to provide for utility tokens and to establish a financial technology sandbox.,Mar 11 2021,Reported Printed And Referred To Business,Mar 12 2021,https://openstates.org/id/bills/2021/H327/,WAYS AND MEANS COMMITTEE,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2021/legislation/H0327.pdf
SR 64,Hawaii,2021 Regular Session,Requesting The Hawaii Technology Development Corporation And Leeward Community College To Study The Feasibility Of Establishing Technology Academy Programs At Aiea High School And Pearl City High School.,Mar 09 2021,Referred To Hre/Gvo.,Mar 11 2021,https://openstates.org/hi/bills/2021 Regular Session/SR64/,Maile S.L. Shimabukuro,,https://capitol.hawaii.gov/session2021/bills/SR64_.HTM
SCR 84,Hawaii,2021 Regular Session,Requesting The Hawaii Technology Development Corporation And Leeward Community College To Study The Feasibility Of Establishing Technology Academy Programs At Aiea High School And Pearl City High School.,Mar 09 2021,Referred To Hre/Gvo.,Mar 11 2021,https://openstates.org/hi/bills/2021 Regular Session/SCR84/,Maile S.L. Shimabukuro,,https://capitol.hawaii.gov/session2021/bills/SCR84_.HTM
SB 345,Rhode Island,2021 Regular Session,"AN ACT RELATING TO STATE AFFAIRS AND GOVERNMENT -- RHODE ISLAND ECONOMIC GROWTH BLOCKCHAIN ACT (Establishes an economic growth blockchain act, set regulations for the sale of hemp, regulate virtual and digital assets and establish depository banks for these purposes.)",Feb 25 2021,"02/25/2021 Introduced, Referred To Senate Commerce",Feb 25 2021,https://openstates.org/ri/bills/2021/SB345/,Leonidas P. Raptakis,,http://webserver.rilin.state.ri.us/BillText/BillText21/SenateText21/S0345.pdf
A 320,New Jersey,2020-2021 Regular Session,Requires Department of Treasury to review and approve digital payment platform.*,Jan 14 2020,Reported Out Of Assembly Committee With Amendments And Referred To Assembly Appropriations Committee,Feb 22 2021,https://openstates.org/nj/bills/219/A320/,BettyLou DeCroce,Linda S. Carter,http://www.njleg.state.nj.us/2020/Bills/A0500/320_R1.HTM
HB 5425,Rhode Island,2021 Regular Session,"AN ACT RELATING TO STATE AFFAIRS AND GOVERNMENT -- RHODE ISLAND ECONOMIC GROWTH BLOCKCHAIN ACT (Establishes an economic growth blockchain act, set regulations for the sale of hemp, regulate virtual and digital assets and establish depository banks for these purposes.)",Feb 08 2021,02/21/2021 Committee Postponed At Request Of Sponsor  (02/22/2021),Feb 21 2021,https://openstates.org/ri/bills/2021/HB5425/,Blake A. Filippi,,http://webserver.rilin.state.ri.us/BillText/BillText21/HouseText21/H5425.pdf
H 181,Idaho,"66th Legislature, 1st Regular Session (2021)",COMMERCIAL TRANSACTIONS – Adds to existing law to provide for digital assets as property and to provide for the application of the Uniform Commercial Code to digital assets.,Feb 16 2021,Reported Printed And Referred To Business,Feb 17 2021,https://openstates.org/id/bills/2021/H181/,BUSINESS COMMITTEE,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2021/legislation/H0181.pdf
LB 648,Nebraska,107th Legislature (2021-2022),Adopt the Transactions in Digital Assets Act,Jan 20 2021,"Notice Of Hearing For February 23, 2021",Feb 10 2021,https://openstates.org/ne/bills/107/LB648/,Michael Flood,,https://nebraskalegislature.gov/FloorDocs/107/PDF/Intro/LB648.pdf
SB 178,Kentucky,2021 Regular Session,AN ACT relating to special purpose depository institutions.,Feb 04 2021,To Committee On Committees (S),Feb 04 2021,https://openstates.org/ky/bills/2021RS/SB178/,Brandon Smith,,https://apps.legislature.ky.gov/recorddocuments/bill/21RS/sb178/orig_bill.pdf
SB 177,Kentucky,2021 Regular Session,AN ACT relating to digital assets.,Feb 04 2021,To Committee On Committees (S),Feb 04 2021,https://openstates.org/ky/bills/2021RS/SB177/,Brandon Smith,,https://apps.legislature.ky.gov/recorddocuments/bill/21RS/sb177/orig_bill.pdf
H 3495,South Carolina,2021-2022 Regular Session,"A Bill To Amend The Code Of Laws Of South Carolina, 1976, So As To Enact The ""South Carolina Blockchain Industry Empowerment Act Of 2021"" In Order To Establish This State As An Incubator For Tech Industries Seeking To Develop Innovation By Using Blockchain Technology; By Adding Section 33-6-245 So As To Further Provide For The Construction Of Terms Relating To Stock And Certificate Tokens; To Amend Section 33-6-250, Relating To The Form And Content Of Corporate Stock Certificates, So As To Authorize Corporations To Issue Certificate Tokens In Lieu Of Stock Certificates; By Adding Chapter 47 To Title 34 So As To Provide That A Person Who Develops, Sells, Or Facilitates The Exchange Of An Open Blockchain Token Is Not Subject To Specified Securities And Money Transmission Laws, And To Provide Specified Verification Authority To The Attorney General And Banking Commissioner; By Adding Chapter 51 To Title 34 So As To Specify That Digital Assets Are Property Within The Uniform Commercial Code, To Authorize Security Interests In Digital Assets, To Establish An Opt-In Framework For Banks To Provide Custodial Services For Digital Asset Property As Custodians, To Specify Standards And Procedures For Custodial Services, To Clarify The Jurisdiction Of South Carolina Courts Relating To Digital Assets, To Authorize A Supervision Fee, And To Provide For Other Related Provisions To Digital Assets; To Amend Section 35-11-105, Relating To Definitions Under The South Carolina Anti-Money Laundering Act, So As To Define The Term ""Virtual Currency""; And To Amend Section 35-11-110, Relating To Matters And Transactions To Which The Anti-Money Laundering Act Does Not Apply, So As To Provide That The Act Does Not Apply To Buying, Selling, Issuing, Or Taking Custody Of Payment Instruments Or Stored Value In The Form Of Virtual Currency Or Receiving Virtual Currency For Transmission To A Location Within Or Outside The United States By Any Means.",Dec 16 2020,Member(S) Request Name Added As Sponsor: Hill,Feb 02 2021,https://openstates.org/sc/bills/2021-2022/H3495/,Jonathon D. Hill,,https://www.scstatehouse.gov/sess124_2021-2022/prever/3495_20201216.htm
SB 562,Oklahoma,2022 Regular Session,Financial technology; creating Oklahoma Financial Technology Access and Improvement Act. Effective date.,Feb 01 2021,"Second Reading Referred To Business, Commerce And Tourism Committee Then To Appropriations Committee",Feb 02 2021,https://openstates.org/ok/bills/2022/SB562/,John Michael Montgomery,,http://webserver1.lsb.state.ok.us/cf_pdf/2021-22 INT/SB/SB562 INT.PDF
SB 562,Oklahoma,2021 Regular Session,Financial technology; creating Oklahoma Financial Technology Access and Improvement Act. Effective date.,Feb 01 2021,"Second Reading Referred To Business, Commerce And Tourism Committee Then To Appropriations Committee",Feb 02 2021,https://openstates.org/ok/bills/2021/SB562/,John Michael Montgomery,,http://webserver1.lsb.state.ok.us/cf_pdf/2021-22 INT/SB/SB562 INT.PDF
HB 622,Hawaii,2021 Regular Session,Relating To Blockchain Technology.,Jan 22 2021,"Referred To Het, Fin, Referral Sheet 1",Jan 27 2021,https://openstates.org/hi/bills/2021 Regular Session/HB622/,Sonny Ganaden,,https://capitol.hawaii.gov/session2021/bills/HB622_.HTM
H 3493,South Carolina,2021-2022 Regular Session,A Joint Resolution To Create The South Carolina Blockchain Voting Verification Study Committee To Address Utilizing Blockchain Technology To Allow South Carolina Voters To Verify Their Votes.,Dec 16 2020,Member(S) Request Name Added As Sponsor: Alexander,Jan 27 2021,https://openstates.org/sc/bills/2021-2022/H3493/,Alexander,,https://www.scstatehouse.gov/sess124_2021-2022/prever/3493_20201216.htm
HR 154,United States,117th Congress,RESCUE Act for Black and Community Banks,Jan 04 2021,Introduced In House,Jan 04 2021,https://openstates.org/us/bills/117/HR154/,Bobby L. Rush,Andre Carson; Yvette D. Clarke; JAMES H. COOPER; Ro Khanna; Peter Welch; Barbara Lee; Ilhan Omar,https://www.govinfo.gov/content/pkg/BILLS-117hr154ih/pdf/BILLS-117hr154ih.pdf
HR 9067,United States,116th Congress,Blockchain Technology Coordination Act of 2020,Dec 31 2020,Introduced In House,Dec 31 2020,https://openstates.org/us/bills/116/HR9067/,Darren Soto,,https://www.govinfo.gov/content/pkg/BILLS-116hr9067ih/pdf/BILLS-116hr9067ih.pdf
S 5043,United States,116th Congress,American COMPETE Act of 2020,Dec 17 2020,Introduced In Senate,Dec 17 2020,https://openstates.org/us/bills/116/S5043/,Deb Fischer,Kyrsten Sinema,https://www.govinfo.gov/content/pkg/BILLS-116s5043is/pdf/BILLS-116s5043is.pdf
HB 220,Ohio,133rd Legislature (2019-2020),Permit government to utilize distributed ledger tech/blockchain,Apr 24 2019,Refer To Committee,Dec 09 2020,https://openstates.org/oh/bills/133/HB220/,Rick Carfagna,"Gayle Manning, G.; Mary Lightbody; Kent Smith, K.; Brian Baldridge; Sara Carruthers; Jeffrey Crossman; Mark Fraizer; Tavia Galonski; Paula Hicks-Hudson; Stephanie Howse; Beth Liston; Riordan McClain; John Rogers; C. Russo; D. J. Swearingen; Bride Rose Sweeney; Thomas West",https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb220/IN/00?format=pdf
HR 8693,United States,116th Congress,21st Century Jobs Act,Oct 27 2020,Referred To The Subcommittee On Highways And Transit.,Oct 28 2020,https://openstates.org/us/bills/116/HR8693/,Ro Khanna,James A. Himes; TIM RYAN; Pramila Jayapal; Suzan K. DelBene; BENNIE THOMPSON; Darren Soto; Dwight Evans; Nanette Diaz Barragan,https://www.govinfo.gov/content/pkg/BILLS-116hr8693ih/pdf/BILLS-116hr8693ih.pdf
HR 8524,United States,116th Congress,Blockchain Records and Transactions Act of 2020,Oct 02 2020,Introduced In House,Oct 02 2020,https://openstates.org/us/bills/116/HR8524/,David Schweikert,Darren Soto,https://www.govinfo.gov/content/pkg/BILLS-116hr8524ih/pdf/BILLS-116hr8524ih.pdf
HR 8132,United States,116th Congress,American COMPETE Act,Aug 28 2020,"Received In The Senate And Read Twice And Referred To The Committee On Commerce, Science, And Transportation.",Sep 30 2020,https://openstates.org/us/bills/116/HR8132/,Cathy McMorris Rodgers,"BOBBY L. RUSH; GREG WALDEN; Darren Soto; Richard Hudson; Robin L. Kelly; Robert E. Latta; Michael C. Burgess; FRED UPTON; Brett Guthrie; Larry Bucshon; Greg Gianforte; H. Morgan Griffith; Earl L. ""Buddy"" Carter",https://www.govinfo.gov/content/pkg/BILLS-116hr8132ih/pdf/BILLS-116hr8132ih.pdf
HR 8128,United States,116th Congress,Consumer Safety Technology Act,Aug 28 2020,"Received In The Senate And Read Twice And Referred To The Committee On Commerce, Science, And Transportation.",Sep 30 2020,https://openstates.org/us/bills/116/HR8128/,Jerry McNerney,Michael C. Burgess; Darren Soto; Brett Guthrie; Warren Davidson,https://www.govinfo.gov/content/pkg/BILLS-116hr8128ih/pdf/BILLS-116hr8128ih.pdf
HR 8378,United States,116th Congress,Securities Clarity Act,Sep 24 2020,Introduced In House,Sep 24 2020,https://openstates.org/us/bills/116/HR8378/,Tom Emmer,K. Michael Conaway; Darren Soto; Ro Khanna,https://www.govinfo.gov/content/pkg/BILLS-116hr8378ih/pdf/BILLS-116hr8378ih.pdf
HR 8352,United States,116th Congress,Jobs and Justice Act of 2020,Sep 23 2020,Referred To The Subcommittee On Aviation.,Sep 24 2020,https://openstates.org/us/bills/116/HR8352/,Karen Bass,"ELEANOR HOLMES NORTON; MAXINE WATERS; SANFORD D. BISHOP; JAMES E. CLYBURN; ALCEE L. HASTINGS; EDDIE BERNICE JOHNSON; BOBBY L. RUSH; Robert C. ""Bobby"" Scott; BENNIE THOMPSON; SHEILA JACKSON LEE; DANNY K. DAVIS; GREGORY W. MEEKS; BARBARA LEE; WM. LACY CLAY; David Scott; G. K. Butterfield; Emanuel Cleaver; Al Green; Gwen Moore; Yvette D. Clarke; Henry C. ""Hank"" Johnson; Andre Carson; Marcia L. Fudge; Cedric L. Richmond; Terri A. Sewell; Frederica S. Wilson; Donald M. Payne; Joyce Beatty; Hakeem S. Jeffries; Marc A. Veasey; Robin L. Kelly; Alma S. Adams; Brenda L. Lawrence; Stacey E. Plaskett; Bonnie Watson Coleman; Dwight Evans; Lisa Blunt Rochester; Anthony G. Brown; Val Butler Demings; Al Lawson; A. Donald McEachin; Steven Horsford; Joe Neguse; Ilhan Omar; Ayanna Pressley; KWEISI MFUME",https://www.govinfo.gov/content/pkg/BILLS-116hr8352ih/pdf/BILLS-116hr8352ih.pdf
HR 7592,United States,116th Congress,STIFLE Act of 2020,Jul 13 2020,"Received In The Senate And Read Twice And Referred To The Committee On Banking, Housing, And Urban Affairs.",Sep 22 2020,https://openstates.org/us/bills/116/HR7592/,Ben McAdams,Anthony Gonzalez,https://www.govinfo.gov/content/pkg/BILLS-116hr7592ih/pdf/BILLS-116hr7592ih.pdf
S 4588,United States,116th Congress,Small Business Broadband and Emerging Information Technology Enhancement Act of 2020,Sep 16 2020,Introduced In Senate,Sep 16 2020,https://openstates.org/us/bills/116/S4588/,Jeanne Shaheen,John Neely Kennedy; Joni Ernst; Mazie K. Hirono; James E. Risch; EDWARD J. MARKEY,https://www.govinfo.gov/content/pkg/BILLS-116s4588is/pdf/BILLS-116s4588is.pdf
HR 8153,United States,116th Congress,Blockchain Innovation Act,Sep 01 2020,Introduced In House,Sep 01 2020,https://openstates.org/us/bills/116/HR8153/,Darren Soto,Brett Guthrie; Doris O. Matsui,https://www.govinfo.gov/content/pkg/BILLS-116hr8153ih/pdf/BILLS-116hr8153ih.pdf
S 200,Massachusetts,191st Legislature (2019-2020),An Act relative to blockchain and cryptocurrencies,Jan 22 2019,"Bill Reported Favorably By Committee And Referred To The Committee On Rules Of The Two Branches, Acting Concurrently",Aug 10 2020,https://openstates.org/ma/bills/191st/S200/,Cynthia Stone Creem,Cynthia Stone Creem; Tommy Vitolo; Eric P. Lesser,https://malegislature.gov/Bills/191/S200.pdf
S 8887,New York,2019 Regular Session,"Relates to establishing a task force to study and report on the potential implementation of blockchain technology in state record keeping, information storage, and service delivery",Aug 07 2020,Referred To Rules,Aug 07 2020,https://openstates.org/ny/bills/2019-2020/S8887/,COMRIE,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S8887&term=2019&Text=Y
S 2874,Massachusetts,191st Legislature (2019-2020),Amendment S.2874,Jul 29 2020,See H4887,Jul 29 2020,https://openstates.org/ma/bills/191st/S2874/,,Michael J. Rodrigues,https://malegislature.gov/Bills/191/S2874.pdf
